Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
CMA,Comerica Inc,Common stocks,Large cap,Financials,"10,007,082,331.00  $",4%,11.80,3.56,1.26,Analyze
UA,Under Armour Inc Class C,Common stocks,Mid cap,Consumer Discretionary,"9,660,969,120.00  $",0%,-8.34,2.16,2.73,Analyze
UAA,Under Armour Inc Class A,Common stocks,Mid cap,Consumer Discretionary,"9,660,969,120.00  $",0%,-8.25,2.16,2.70,Analyze
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"9,418,998,910.00  $",1%,-21.56,2.42,2.37,Analyze
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"9,257,353,348.00  $",4%,16.72,2.58,1.63,Analyze
NLSN,Nielsen Holdings Plc,Common stocks,Mid cap,Industrials,"9,152,431,754.00  $",1%,"-1,529.04",1.46,4.47,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"9,052,563,619.00  $",2%,21.16,0.90,1.50,Analyze
ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"9,024,391,055.00  $",2%,11.12,3.31,1.14,Analyze
KIM,Kimco Realty Corporation,REITs,Mid cap,Real Estate,"8,998,239,769.00  $",2%,9.28,7.21,1.61,Analyze
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"8,852,808,475.00  $",3%,17.37,0.97,5.27,Analyze
VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"8,786,291,174.00  $",5%,-25.17,5.75,1.34,Analyze
MRO,Marathon Oil Corp,Common stocks,Mid cap,Energy,"8,702,290,024.00  $",0%,-6.38,2.82,0.88,Analyze
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"8,687,582,899.00  $",4%,70.21,10.40,3.52,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"8,592,765,524.00  $",0%,-6.98,3.15,2.97,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"8,360,229,814.00  $",2%,12.17,0.89,4.46,Analyze
JNPR,Juniper Networks Inc,Common stocks,Mid cap,Information Technology,"8,268,697,626.00  $",3%,32.05,1.86,1.82,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"8,121,548,377.00  $",0%,-2.85,0.45,1.44,Analyze
PVH,PVH Corp,Common stocks,Mid cap,Consumer Discretionary,"7,931,227,259.00  $",3%,-7.15,1.20,1.73,Analyze
FLIR,Flir Systems Inc,Common stocks,Mid cap,Information Technology,"7,844,798,541.00  $",1%,37.32,4.08,4.21,Analyze
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"7,400,699,156.00  $",1%,14.85,1.51,43.29,Analyze
HBI,Hanesbrands Inc,Common stocks,Mid cap,Consumer Discretionary,"7,385,032,704.00  $",3%,-97.44,0.64,9.05,Analyze
APA,Apache Corp,Common stocks,Mid cap,Energy,"7,192,705,007.00  $",0%,-1.59,1.62,-4.73,Analyze
LEG,Leggett & Platt Inc,Common stocks,Mid cap,Consumer Discretionary,"6,778,939,429.00  $",3%,27.39,1.58,4.88,Analyze
COG,Cabot Oil & Gas Corp,Common stocks,Mid cap,Energy,"6,706,257,569.00  $",2%,33.80,4.57,3.06,Analyze
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"6,554,450,000.00  $",0%,-2.39,5.12,2.20,Analyze
UNM,Unum Group,Common stocks,Mid cap,Financials,"5,876,546,642.00  $",3%,7.44,0.45,0.54,Analyze
HFC,HollyFrontier Corp,Common stocks,Mid cap,Energy,"5,617,917,832.00  $",4%,-9.65,0.50,1.12,Analyze
PRGO,Perrigo Plc,Common stocks,Mid cap,Health Care,"5,520,330,351.00  $",2%,-34.10,1.09,0.98,Analyze
NOV,National Oilwell Varco Inc,Common stocks,Mid cap,Energy,"5,305,088,735.00  $",0%,-2.29,0.87,1.12,Analyze
