Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
OKE,Oneok Inc,Common stocks,Large cap,Energy,"22,668,763,662.00  $",7%,37.97,2.65,3.84,Analyze
QRVO,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"22,469,055,815.00  $",0%,45.99,7.64,4.96,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"22,426,933,194.00  $",4%,46.99,1.09,2.88,Analyze
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"22,342,116,912.00  $",1%,6.18,1.76,0.87,Analyze
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"22,342,116,912.00  $",1%,8.26,1.77,1.16,Analyze
DISH,Dish Network Corp Class A,Common stocks,Large cap,Communication Services,"22,333,662,440.00  $",0%,6.79,1.44,0.87,Analyze
RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"22,307,987,765.00  $",1%,-3.84,10.10,2.54,Analyze
STX,Seagate Technology Plc,Common stocks,Large cap,Information Technology,"22,302,550,231.00  $",3%,26.98,2.20,22.76,Analyze
MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"22,299,966,754.00  $",1%,30.72,4.71,3.76,Analyze
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"22,228,454,877.00  $",6%,15.19,2.92,1.67,Analyze
EIX,Edison International,Common stocks,Large cap,Utilities,"22,191,387,017.00  $",4%,36.50,1.63,1.58,Analyze
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"22,176,740,619.00  $",1%,129.40,1.36,2.20,Analyze
GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"22,156,989,157.00  $",1%,31.80,1.88,12.09,Analyze
TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"22,136,206,871.00  $",1%,25.89,1.93,11.83,Analyze
TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"21,836,669,927.00  $",0%,28.12,7.00,9.99,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"21,732,027,252.00  $",0%,8.90,8.82,3.34,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"21,728,286,080.00  $",1%,-7.57,4.66,4.36,Analyze
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"21,711,121,885.00  $",0%,29.29,1.58,5.01,Analyze
IR,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"21,444,940,031.00  $",4%,25.44,4.37,3.39,Analyze
ETR,Entergy Corp,Common stocks,Large cap,Utilities,"21,421,830,213.00  $",3%,15.44,2.12,1.96,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"21,313,964,250.00  $",2%,24.53,3.68,2.39,Analyze
DOV,Dover Corp,Common stocks,Large cap,Industrials,"21,292,600,620.00  $",1%,28.81,3.09,6.09,Analyze
CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"21,196,394,458.00  $",0%,-15.35,6.10,4.26,Analyze
K,Kellogg,Common stocks,Large cap,Consumer Staples,"21,146,281,002.00  $",4%,16.88,0.88,6.79,Analyze
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"21,127,865,008.00  $",0%,53.80,3.87,5.83,Analyze
HPE,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"21,078,557,003.00  $",3%,-48.64,0.78,1.30,Analyze
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"20,889,182,346.00  $",0%,-20.14,4.05,3.20,Analyze
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"20,871,728,611.00  $",3%,47.19,5.50,2.04,Analyze
GNRC,Generac Holdings Inc,Common stocks,Large cap,Industrials,"20,847,537,247.00  $",0%,56.67,8.39,14.29,Analyze
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"20,776,121,628.00  $",1%,26.32,4.24,6.85,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"20,621,980,800.00  $",4%,-86.10,1.03,1.20,Analyze
KEY,Keycorp,Common stocks,Large cap,Financials,"20,593,255,082.00  $",3%,12.08,2.98,1.17,Analyze
TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"20,513,383,688.00  $",0%,61.88,8.09,6.22,Analyze
RF,Regions Financial Corp,Common stocks,Large cap,Financials,"20,395,109,699.00  $",3%,14.03,3.17,1.15,Analyze
MTB,M&T Bank Corp,Common stocks,Large cap,Financials,"20,169,029,104.00  $",3%,13.82,3.40,1.22,Analyze
XYL,Xylem Inc,Common stocks,Large cap,Industrials,"20,084,721,780.00  $",1%,79.00,4.12,6.76,Analyze
TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"20,073,160,842.00  $",0%,40.76,6.09,6.37,Analyze
FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"20,057,521,904.00  $",4%,15.19,1.86,2.77,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"19,812,893,910.00  $",1%,52.62,6.33,4.63,Analyze
EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"19,686,845,106.00  $",2%,40.67,14.52,7.69,Analyze
CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"19,431,614,412.00  $",3%,12.86,2.98,0.87,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"19,305,967,171.00  $",3%,32.79,12.91,3.11,Analyze
CTLT,Catalent Inc,Common stocks,Large cap,Health Care,"19,189,634,923.00  $",0%,66.12,5.54,5.58,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"19,117,993,119.00  $",0%,4.22,7.51,1.63,Analyze
WAT,Waters Corp,Common stocks,Large cap,Health Care,"18,882,716,880.00  $",0%,35.75,7.98,80.32,Analyze
LB,L Brands Inc,Common stocks,Large cap,Consumer Discretionary,"18,850,705,884.00  $",0%,22.26,1.00,-28.41,Analyze
MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"18,832,656,435.00  $",1%,60.96,26.32,18.82,Analyze
HOLX,Hologic Inc,Common stocks,Large cap,Health Care,"18,770,661,547.00  $",0%,13.49,11.88,5.71,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"18,670,243,265.00  $",1%,35.95,3.99,13.00,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"18,608,181,370.00  $",0%,-63.12,6.98,7.15,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"18,592,616,304.00  $",1%,-85.54,3.01,7.28,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"18,573,510,486.00  $",2%,406.25,1.92,7.09,Analyze
EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"18,463,557,096.00  $",1%,26.44,1.83,6.92,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"18,326,484,207.00  $",3%,24.17,2.74,3.32,Analyze
NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"18,302,722,932.00  $",0%,18.89,2.29,6.04,Analyze
PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"18,278,571,651.00  $",4%,44.03,11.11,2.67,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"18,271,020,762.00  $",0%,32.02,5.71,4.20,Analyze
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"18,231,207,063.00  $",0%,102.96,1.86,9.05,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"18,228,279,152.00  $",4%,23.49,1.46,3.81,Analyze
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"18,205,411,519.00  $",0%,92.12,16.30,9.04,Analyze
STE,STERIS PLC,Common stocks,Large cap,Health Care,"18,131,476,823.00  $",1%,41.68,11.48,4.65,Analyze
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"17,989,207,786.00  $",1%,20.96,2.20,2.45,Analyze
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"17,940,915,799.00  $",0%,-10.43,9.64,-38.09,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"17,931,797,218.00  $",1%,32.59,1.80,6.56,Analyze
GPC,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"17,793,198,123.00  $",3%,345.94,1.05,5.42,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"17,786,830,817.00  $",3%,14.91,1.52,2.15,Analyze
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"17,784,079,070.00  $",1%,35.97,0.75,2.90,Analyze
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"17,752,085,089.00  $",3%,70.12,10.58,3.00,Analyze
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"17,659,277,760.00  $",1%,68.70,8.17,19.03,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"17,630,374,617.00  $",2%,8.42,2.94,4.97,Analyze
MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"17,564,085,000.00  $",1%,104.78,20.80,17.82,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"17,549,573,386.00  $",3%,12.77,0.11,8.95,Analyze
OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"17,475,312,644.00  $",3%,17.94,1.32,5.45,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"17,461,577,826.00  $",2%,14.14,2.32,1.59,Analyze
CTXS,Citrix Systems Inc,Common stocks,Large cap,Information Technology,"17,425,191,899.00  $",1%,34.09,5.38,153.36,Analyze
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"17,304,965,024.00  $",0%,-2.58,1.63,3.33,Analyze
DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"17,283,421,821.00  $",2%,9.55,1.67,2.55,Analyze
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"17,263,411,676.00  $",0%,145.86,11.27,11.59,Analyze
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"17,230,280,942.00  $",0%,64.38,4.20,15.75,Analyze
PFG,Principal Financial Group Inc,Common stocks,Large cap,Financials,"17,196,141,430.00  $",4%,12.47,1.17,1.05,Analyze
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"17,172,390,717.00  $",1%,45.22,7.30,6.72,Analyze
HAL,Halliburton,Common stocks,Large cap,Energy,"17,167,901,324.00  $",1%,-10.18,1.34,3.46,Analyze
NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"17,066,829,940.00  $",2%,28.80,3.05,35.67,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"16,955,893,693.00  $",1%,31.57,1.42,11.82,Analyze
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"16,933,425,809.00  $",1%,38.38,3.92,25.35,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"16,871,613,994.00  $",4%,19.47,6.10,2.80,Analyze
DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"16,849,386,247.00  $",2%,56.42,16.96,3.28,Analyze
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Industrials,"16,415,756,252.00  $",0%,41.52,3.06,5.17,Analyze
MAS,Masco Corp,Common stocks,Large cap,Industrials,"16,140,673,339.00  $",1%,13.27,2.25,83.32,Analyze
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"16,095,061,950.00  $",1%,39.09,2.13,1.60,Analyze
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"16,030,057,247.00  $",0%,-24.25,1.34,0.71,Analyze
EMN,Eastman Chemical,Common stocks,Large cap,Materials,"15,805,842,278.00  $",2%,32.95,1.87,2.61,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"15,560,138,849.00  $",1%,31.90,2.26,-4.75,Analyze
HBAN,Huntington Bancshares Inc,Common stocks,Large cap,Financials,"15,540,260,862.00  $",4%,13.17,3.27,1.15,Analyze
